dataset,encoder,decoder,pretrained,config,train_samples,val_samples,best_val_iou,final_val_dice,final_train_loss,final_val_loss
AFM,resnet50,unet,imagenet,resnet50_unet_imagenet,36,10,0.8992153803507487,0.9423273404439291,0.08968136542373234,0.1139022558927536
AFM,resnet50,unet,micronet,resnet50_unet_micronet,36,10,0.8973658680915833,0.9442283113797506,0.1459314069814152,0.13439078629016876
AFM,resnet50,deeplabv3,imagenet,resnet50_deeplabv3_imagenet,36,10,0.8251206080118815,0.9002039432525635,0.06626151998837788,0.07259942529102166
AFM,resnet50,deeplabv3,micronet,resnet50_deeplabv3_micronet,36,10,0.8092691500981649,0.7456290026505789,0.08275476801726553,0.11109939962625504
AFM,resnet50,deeplabv3plus,imagenet,resnet50_deeplabv3plus_imagenet,36,10,0.9012903571128845,0.946921726067861,0.027271845895383093,0.04587928205728531
AFM,resnet50,deeplabv3plus,micronet,resnet50_deeplabv3plus_micronet,36,10,0.8813663125038147,0.9299808740615845,0.04939078208472994,0.04900012165307999
AFM,se_resnext101,unet,imagenet,se_resnext101_unet_imagenet,36,10,0.9013328949610392,0.944044311841329,0.09498970376120673,0.11389710009098053
AFM,se_resnext101,unet,micronet,se_resnext101_unet_micronet,36,10,0.8965455691019694,0.9410801331202189,0.11659275905953513,0.12810138364632925
AFM,se_resnext101,deeplabv3,imagenet,se_resnext101_deeplabv3_imagenet,36,10,0.8109859426816305,0.8889785408973694,0.06971875723037455,0.07677094389994939
AFM,se_resnext101,deeplabv3,micronet,se_resnext101_deeplabv3_micronet,36,10,0.8247855106989542,0.9005270799001058,0.07194249621695942,0.07479708890120189
AFM,se_resnext101,deeplabv3plus,imagenet,se_resnext101_deeplabv3plus_imagenet,36,10,0.889808734258016,0.9383661945660909,0.026340891503625445,0.047814056277275085
AFM,se_resnext101,deeplabv3plus,micronet,se_resnext101_deeplabv3plus_micronet,36,10,0.8982419768969218,0.9396501978238424,0.03558668328656091,0.04406257842977842
